NestID,siteID,year,date,FID,dives,minDis,score,sex,present
57,57,2018,8/1/2018,70,0,25,3,Female,2
57,57,2018,8/13/2018,220,0,10,3,Female,2
57,57,2018,7/25/2018,30,0,15,3,Female,2
57,57,2018,6/28/2018,15,1,15,4,Female,2
57,57,2018,6/13/2018,80,0,20,3,Female,2
57,57,2018,6/13/2018,80,0,300,1,Male,2
57,57,2018,6/28/2018,60,0,30,3,Male,2
58,58,2018,6/15/2018,100,0,15,3,Female,2
58,58,2018,6/27/2018,50,3,15,4,Male,2
58,58,2018,7/20/2018,80,6,25,4,Female,2
58,58,2018,7/26/2018,50,0,30,3,Female,1
58,58,2018,6/15/2018,80,0,30,3,Male,2
58,58,2018,6/27/2018,100,20,5,4,Female,2
59,59,2018,6/10/2018,63,0,50,3,Female,2
59,59,2018,6/10/2018,63,3,20,4,Male,2
59,59,2018,6/25/2018,20,0,20,3,Female,2
74,74,2018,6/13/2018,15,0,40,3,Female,1
74,74,2018,6/9/2018,50,0,40,3,Female,2
74,74,2018,6/9/2018,50,1,20,4,Male,2
75,75,2018,7/23/2018,380,20,1,5,Male,2
75,75,2018,7/23/2018,200,17,2,5,Female,2
75,75,2018,7/27/2018,100,8,10,4,Female,2
75,75,2018,7/27/2018,80,9,0,5,Male,2
75,75,2018,7/6/2018,200,23,3,4,Male,2
75,75,2018,6/21/2018,20,7,6,4,Female,1
75,75,2018,7/13/2018,172,15,0,5,Male,2
75,75,2018,7/13/2018,172,4,5,4,Female,2
75,75,2018,6/11/2018,23,0,15,3,Female,2
75,75,2018,8/8/2018,120,16,1,5,Male,2
75,75,2018,8/3/2018,150,0,20,3,Female,2
75,75,2018,7/6/2018,25,1,10,4,Female,2
75,75,2018,8/3/2018,150,2,10,4,Male,2
75,75,2018,8/8/2018,120,0,15,3,Female,2
77,77,2018,7/23/2018,70,16,1,5,Female,2
77,77,2018,7/23/2018,270,6,15,4,Male,2
77,77,2018,8/9/2018,20,14,1,5,Female,1
77,77,2018,6/17/2018,200,9,10,4,Female,2
77,77,2018,8/15/2018,80,11,6,4,Female,2
77,77,2018,8/15/2018,325,9,3,4,Male,2
77,77,2018,7/27/2018,40,14,8,4,Female,2
77,77,2018,7/27/2018,200,2,2,5,Male,2
77,77,2018,8/4/2018,40,0,8,3,Female,2
77,77,2018,8/3/2018,200,0,15,3,Male,2
77,77,2018,6/21/2018,15,6,10,4,Female,2
77,77,2018,6/30/2018,40,5,10,4,Female,2
77,77,2018,7/13/2018,40,8,8,4,Female,2
77,77,2018,7/13/2018,23,4,2,4,Male,2
77,77,2018,7/6/2018,4,7,10,4,Female,2
77,77,2018,7/6/2018,200,6,5,4,Male,2
77,77,2018,6/30/2018,40,4,1,5,Male,2
78,78,2018,6/9/2018,45,0,20,3,Male,2
78,78,2018,6/9/2018,45,2,20,4,Female,2
78,78,2018,8/9/2018,70,0,100,2,Female,1
78,78,2018,7/14/2018,30,0,25,3,Female,1
78,78,2018,7/8/2018,10,2,12,4,Female,2
78,78,2018,7/24/2018,70,0,10,3,Female,1
78,78,2018,8/5/2018,205,0,20,3,Female,1
80,80,2018,6/12/2018,74,1,15,4,Female,1
80,80,2018,7/17/2018,80,0,10,3,Female,1
80,80,2018,7/24/2018,10,6,8,4,Female,1
97,97,2018,8/10/2018,70,0,15,3,Female,1
97,97,2018,7/19/2018,70,0,15,3,Female,2
97,97,2018,7/19/2018,320,15,8,4,Male,2
97,97,2018,8/6/2018,100,0,20,3,Female,1
98,98,2018,6/24/2018,75,7,10,4,Female,1
98,98,2018,7/20/2018,220,0,15,3,Male,2
98,98,2018,7/20/2018,220,0,20,3,Female,2
119,119,2018,6/26/2018,20,3,10,4,Male,2
119,119,2018,7/5/2018,10,10,5,4,Female,2
119,119,2018,6/26/2018,70,0,40,3,Female,2
119,119,2018,7/5/2018,75,0,30,3,Male,2
145,147,2018,7/17/2018,280,15,0,5,Male,2
145,147,2018,7/17/2018,280,0,10,3,Female,2
155,45,2018,7/19/2018,40,0,10,3,Male,2
155,45,2018,8/14/2018,25,1,7,4,Female,1
155,45,2018,7/19/2018,40,0,10,3,Female,2
155,45,2018,6/11/2018,74,0,15,3,Female,2
