AggressionTestID,ID,ColourID,ID_Series,SiteID,NestID,Year2,Year,Sex,NestStage,RawMinDis,MinDis,Date,TravelMode,NestApproach,Observer,NestVisibleDistance,NumberAdultsPresent,NumberOfEggs,NumberOfChicks,ClutchSize,JulianLay,JulianHatch,LayDate,HatchDate,NumberHatched,Fledged,NumberFledged,JulianTestDay
351,43H,43H,43HMale2019,105,261,1,2019,Male,2Incubating,-98,-98,7/6/2019,Quad,Above,Kevin,2,1,4,0,4,159,195,6/8/2019,7/14/2019,3,0,0,187
426,43H,43H,43HMale2019,105,261,1,2019,Male,3Provisioning,-98,-98,7/25/2019,Boat,Below,Nick,2,0,1,3,4,159,195,6/8/2019,7/14/2019,3,0,0,206
449,43H,43H,43HMale2019,105,261,1,2019,Male,3Provisioning,-98,-98,8/1/2019,Boat,Below,Rebekah,4,1,0,2,4,159,195,6/8/2019,7/14/2019,3,0,0,213
128,119Female,,119Female2018,119,119,0,2018,Female,2Incubating,-98,-98,7/12/2018,Quad,Above,Erik,4,0,3,0,3,162,,6/11/2018,,,0,0,193
129,119Male,,119Male2018,119,119,0,2018,Male,2Incubating,-98,-98,7/12/2018,Quad,Above,Matthew,4,0,3,0,3,162,,6/11/2018,,,0,0,193
13,145Male,,147Male2018,147,145,0,2018,Male,1Laying,-98,-98,6/10/2018,Snowmobile,Above,Ashton,3,1,1,0,4,161,196,6/10/2018,7/15/2018,2,0,0,161
471,304Female,,151Female2019,151,304,1,2019,Female,3Provisioning,-98,-98,8/18/2019,Boat,Below,Nick,1,0,0,2,3,166,200,6/15/2019,7/19/2018,3,1,2,230
470,304Male,,151Male2019,151,304,1,2019,Male,3Provisioning,-98,-98,8/18/2019,Boat,Below,Nick,1,0,0,2,3,166,200,6/15/2019,7/19/2018,3,1,2,230
459,20H,20H,20HMale2019,39,195,1,2019,Male,3Provisioning,0,600,8/16/2019,Boat,Below,Rebekah,2,1,0,1,4,160,196,6/9/2019,7/15/2019,4,1,1,228
114,92H,92H,92HMale2018,75,75,0,2018,Male,3Provisioning,0,600,7/13/2018,Quad,Above,Silu,3,2,1,2,4,157,193,6/6/2018,7/12/2018,2,1,1,194
193,92H,92H,92HMale2018,75,75,0,2018,Male,3Provisioning,0,600,7/27/2018,Quad,Above,Erik,3,2,1,1,4,157,193,6/6/2018,7/12/2018,2,1,1,208
408,92H,92H,92HMale2019,75,231,1,2019,Male,3Provisioning,0,600,7/21/2019,Quad,Below,Erik,2,2,0,4,4,,196,,7/15/2019,4,0,0,202
140,145Male,,147Male2018,147,145,0,2018,Male,3Provisioning,0,600,7/17/2018,Boat,Above,Erik,3,2,1,1,4,161,196,6/10/2018,7/15/2018,2,0,0,198
345,44H,44H,44HMale2019,1,157,1,2019,Male,2Incubating,1,599,7/5/2019,Quad,Above,Rebekah,2,2,3,0,3,162,198,6/11/2019,7/17/2019,1,0,0,186
371,86C,86C,86CFemale2019,4,160,1,2019,Female,2Incubating,1,599,7/11/2019,Quad,Above,Rebekah,4,2,4,0,4,161,198,6/10/2018,7/17/2019,4,0,0,192
